pattern,n_all,mean_percent,median_percent,trimmed10_mean_percent,weighted_percent_sum_red_over_sum_base,weighted_percent_provider_balanced,n_baseline_lt_100,n_abs_reduction_pct_gt_200,n_sensitivity_kept,weighted_percent_sensitivity,baseline_cost_per_success_tokens,pattern_cost_per_success_tokens,cost_per_success_delta_tokens,min_percent,max_percent
delta,18,44.24539488888889,46.817435,44.7109994375,45.56769520150478,44.47932332467448,0,0,18,45.56769520150478,1388.1666666666667,755.6111111111111,632.5555555555557,23.75731,57.283807
hierarchical,45,41.29313477777778,43.75,41.81956416216216,40.721296507646656,41.36469178205942,0,0,45,40.721296507646656,389.4222222222222,230.84444444444443,158.57777777777778,1.247401,74.708819
lazy,45,25.00271068888889,21.99148,25.006561675675677,26.61456532263642,26.482239206171496,0,0,45,26.61456532263642,1606.5555555555557,1178.9777777777779,427.5777777777778,-6.146096,64.403292
